Date,Team
1954-01-13,Army
1955-01-26,American Int'l
1957-01-26,Army
1967-12-12,American Int'l
1968-12-05,Army
1969-03-22,Air Force
1969-03-23,Army
1973-02-03,American Int'l
1974-01-05,Army
1974-01-09,Holy Cross
1975-01-08,Army
1976-01-07,Holy Cross
1976-12-11,Army
1977-01-28,Air Force
1989-10-27,Army
1990-10-26,Air Force
1992-02-08,Army
1993-01-29,Air Force
1994-01-22,Army
1994-02-25,Canisius
1994-02-26,Army
1994-11-18,Canisius
1994-11-19,Army
1995-02-04,Holy Cross
1995-11-24,Army
1997-02-22,Sacred Heart
1998-02-21,Army
1998-02-27,Air Force
1999-03-05,Niagara
2000-02-22,Canisius
2000-11-10,Mercyhurst
2001-01-09,Canisius
2001-01-26,Army
2001-01-27,Sacred Heart
2001-02-16,Army
2001-02-23,Canisius
2001-03-15,Mercyhurst
2001-11-23,Niagara
2002-02-23,Air Force
2002-10-05,Niagara
2002-11-01,Air Force
2002-11-02,Niagara
2003-01-23,Canisius
2003-01-25,Niagara
2005-01-08,Canisius
2005-01-14,American Int'l
2005-01-15,Mercyhurst
2005-01-18,Canisius
2005-01-28,Holy Cross
2005-02-11,Sacred Heart
2005-02-19,American Int'l
2005-02-25,Army
2005-03-04,Canisius
2005-03-12,Bentley
2005-10-22,Robert Morris
2005-12-09,Niagara
2006-01-13,Air Force
2006-01-14,Niagara
2006-02-10,Air Force
2006-02-11,Niagara
2006-11-03,Robert Morris
2006-11-04,Niagara
2007-02-02,Robert Morris
2007-02-23,Niagara
2007-11-10,Robert Morris
2008-01-04,American Int'l
2008-01-05,Robert Morris
2008-01-11,Niagara
2008-01-12,Robert Morris
2008-02-29,Niagara
2009-03-13,Robert Morris
2009-11-25,Niagara
2010-10-30,Robert Morris
2010-11-06,Holy Cross
2010-11-20,Bentley
2010-11-28,Canisius
2010-12-17,RIT
2011-02-19,Robert Morris
2011-02-25,Air Force
2011-11-11,RIT
2011-12-17,Robert Morris
2012-01-06,Bentley
2012-01-20,RIT
2012-02-03,Air Force
2012-02-18,Mercyhurst
2012-02-24,Canisius
2012-02-25,Mercyhurst
2012-03-10,Holy Cross
2012-03-11,Mercyhurst
2012-03-16,Air Force
2012-11-02,Holy Cross
