Date,Team
1954-01-13,American Int'l
1955-01-26,Army
1957-01-26,American Int'l
1967-12-12,Army
1968-12-05,American Int'l
1973-02-03,Army
1974-01-05,American Int'l
1979-01-05,Army
1980-01-06,Holy Cross
1981-02-24,Army
1982-01-06,Holy Cross
1995-02-04,Army
1995-11-10,Canisius
1995-12-02,Mercyhurst
1996-10-25,Niagara
1996-11-01,Mercyhurst
1996-11-09,Canisius
1996-11-29,Holy Cross
1997-02-07,American Int'l
1998-11-13,Sacred Heart
1998-12-04,Canisius
1998-12-05,Sacred Heart
1999-11-12,Canisius
1999-12-04,American Int'l
2000-02-12,Bentley
2000-02-19,Sacred Heart
2000-03-03,American Int'l
2000-11-10,Holy Cross
2000-11-11,Army
2000-11-17,Bentley
2000-12-16,Holy Cross
2001-01-05,American Int'l
2001-01-13,Sacred Heart
2001-01-26,Bentley
2001-02-02,Army
2001-02-13,Holy Cross
2001-02-16,Bentley
2001-10-27,American Int'l
2001-11-20,Sacred Heart
2001-12-08,American Int'l
2002-01-04,Holy Cross
2002-01-05,American Int'l
2002-02-16,Bentley
2002-11-09,Army
2003-01-03,American Int'l
2003-01-17,Bentley
2003-01-18,American Int'l
2003-02-28,Canisius
2003-03-02,American Int'l
2003-11-23,Army
2004-01-09,American Int'l
2004-03-12,Army
2004-11-19,Holy Cross
2004-12-03,Army
2005-02-18,Bentley
2005-02-25,Canisius
2005-02-26,Bentley
2005-03-12,Canisius
2005-10-09,Robert Morris
2005-10-22,Bentley
2005-11-05,Sacred Heart
2005-11-11,American Int'l
2006-01-06,Canisius
2006-01-21,Army
2006-02-03,Sacred Heart
2006-02-04,Army
2006-02-25,Mercyhurst
2006-03-03,Canisius
2006-10-21,Sacred Heart
2006-11-03,Mercyhurst
2006-11-24,Holy Cross
2007-01-05,Bentley
2007-01-06,Holy Cross
2007-01-20,American Int'l
2007-01-30,Army
2007-02-16,Bentley
2007-02-24,RIT
2007-11-02,Canisius
2007-11-03,RIT
2007-11-10,Air Force
2007-11-23,Holy Cross
2008-01-12,Bentley
2008-02-22,Army
2008-02-23,Bentley
2008-11-14,Mercyhurst
2008-11-21,Army
2008-12-07,Canisius
2009-01-16,Air Force
2009-01-23,Army
2009-02-06,Canisius
2009-02-13,American Int'l
2009-02-21,Sacred Heart
2009-02-28,Holy Cross
2009-03-07,American Int'l
2009-10-30,Holy Cross
2009-11-06,Sacred Heart
2009-11-07,Holy Cross
2010-01-22,Air Force
2010-01-23,Holy Cross
2010-02-05,Army
2010-02-06,Holy Cross
2010-02-12,Bentley
2010-11-03,Sacred Heart
2010-11-06,American Int'l
2010-11-26,Mercyhurst
2010-12-03,Sacred Heart
2010-12-04,Mercyhurst
2011-01-14,Holy Cross
2011-02-04,American Int'l
2011-02-12,Bentley
2011-10-25,Sacred Heart
2011-12-03,Robert Morris
2011-12-11,Canisius
2012-01-06,Army
2012-01-28,Bentley
2012-02-03,Sacred Heart
2012-02-24,Army
2012-10-19,Sacred Heart
2013-02-19,Holy Cross
2013-02-23,American Int'l
2013-02-26,Army
2013-11-12,Sacred Heart
2013-11-22,Army
2013-11-26,American Int'l
2014-01-03,Air Force
2014-01-04,American Int'l
2014-01-10,Niagara
2014-01-11,American Int'l
2014-02-01,Canisius
2014-02-14,Air Force
2014-02-15,Canisius
2014-02-22,Robert Morris
2014-03-07,Army
2014-03-08,Robert Morris
2014-03-09,Army
2014-10-10,Sacred Heart
2014-10-12,Army
2014-10-18,Canisius
2014-10-24,American Int'l
2014-10-31,Niagara
2014-11-08,Bentley
2014-11-15,Mercyhurst
2014-12-05,Army
2015-01-03,American Int'l
2015-02-27,Army
2015-02-28,American Int'l
2015-03-07,Air Force
2015-11-06,Mercyhurst
2015-11-07,Air Force
2015-11-13,Holy Cross
2015-11-24,American Int'l
2015-12-11,Army
2016-01-29,Niagara
2016-02-05,American Int'l
2016-02-12,RIT
2016-02-13,American Int'l
2016-03-05,Army
2016-03-06,American Int'l
2016-10-28,Mercyhurst
2016-10-29,American Int'l
2016-11-03,Holy Cross
2016-11-11,Mercyhurst
2016-11-12,Holy Cross
2016-12-03,Air Force
2016-12-09,Niagara
2017-01-14,Bentley
2017-01-20,Sacred Heart
2017-01-21,Bentley
2017-01-27,RIT
2017-02-03,Robert Morris
2017-02-04,RIT
2017-02-11,Holy Cross
2017-02-24,Bentley
2017-03-04,Sacred Heart
2017-11-04,Canisius
2017-11-05,Sacred Heart
2017-12-02,Mercyhurst
2017-12-09,American Int'l
2018-01-05,Holy Cross
2018-01-12,Sacred Heart
2018-01-16,Bentley
2018-01-27,Canisius
2018-02-03,Holy Cross
2018-02-22,American Int'l
2018-02-24,Bentley
2018-03-03,Robert Morris
2018-03-04,Bentley
2018-10-26,Holy Cross
2018-12-08,Robert Morris
2018-12-30,American Int'l
2019-01-08,Sacred Heart
2019-01-19,Air Force
2019-01-25,Robert Morris
2019-02-15,Holy Cross
2019-02-16,Robert Morris
2019-03-01,Mercyhurst
2019-11-01,Bentley
2019-11-02,Mercyhurst
2019-11-16,American Int'l
2019-11-29,RIT
2019-12-06,Mercyhurst
2020-01-17,Robert Morris
2020-01-18,Mercyhurst
2020-12-18,Niagara
2021-01-03,Air Force
2021-02-01,Bentley
2021-02-16,Sacred Heart
2021-02-19,Holy Cross
2021-10-23,Bentley
2021-11-05,Canisius
2021-11-06,Bentley
2021-11-13,Air Force
2021-11-19,Sacred Heart
2021-11-20,Air Force
2021-12-03,Canisius
2021-12-09,Niagara
2021-12-10,Canisius
2022-01-07,Army
2022-01-08,Canisius
2022-01-15,Holy Cross
2022-01-21,Army
2022-01-22,Holy Cross
2022-01-30,American Int'l
2022-02-04,RIT
2022-02-18,Niagara
2022-10-21,Sacred Heart
2022-10-22,Niagara
2022-10-29,Mercyhurst
2022-11-18,Holy Cross
2022-12-02,Air Force
2023-01-20,Niagara
2023-01-21,Air Force
2023-01-28,Army
2023-02-03,Niagara
2023-02-09,RIT
2023-02-17,Bentley
2023-02-18,RIT
2023-02-24,Air Force
2023-11-03,Niagara
2023-11-04,Air Force
2023-11-10,Army
2023-11-18,Canisius
2023-11-21,Robert Morris
2023-12-07,Niagara
2024-01-11,RIT
2024-01-19,Robert Morris
2024-01-26,American Int'l
2024-01-27,Robert Morris
2024-02-02,Mercyhurst
2024-02-10,RIT
2024-02-16,Air Force
2024-02-17,RIT
2024-02-23,Canisius
2024-03-02,Mercyhurst
2024-10-11,RIT
2024-10-12,Mercyhurst
2024-11-02,Niagara
2024-11-09,Army
2024-11-15,RIT
2024-12-07,Robert Morris
2024-12-14,Canisius
