Date,Team
1922-01-20,Minnesota
1922-02-03,Wisconsin
1922-02-04,Minnesota
1923-02-20,Michigan
1923-02-22,Notre Dame
1924-01-12,Michigan
1924-02-18,Minnesota
1924-02-23,Michigan
1926-02-19,Minnesota
1927-02-08,Notre Dame
1969-01-31,Wisconsin
1969-02-08,Michigan State
1969-02-22,Minnesota
1969-03-07,Michigan
1969-11-28,Wisconsin
1969-11-29,Michigan
1969-12-05,Michigan State
1969-12-06,Michigan
1969-12-22,Michigan State
1969-12-23,Wisconsin
1970-01-02,Michigan State
1970-01-16,Minnesota
1970-01-17,Michigan State
1970-02-13,Minnesota
1970-02-28,Wisconsin
1970-12-11,Michigan
1970-12-12,Wisconsin
1970-12-19,Notre Dame
1971-12-03,Michigan
1972-01-19,Michigan State
1972-02-09,Michigan
1972-02-18,Wisconsin
1972-02-19,Michigan
1972-02-25,Notre Dame
1972-11-25,Minnesota
1972-12-01,Michigan
1972-12-02,Minnesota
1972-12-30,Wisconsin
1973-01-13,Michigan State
1973-02-09,Wisconsin
1973-02-23,Notre Dame
1973-03-11,Wisconsin
1973-11-17,Notre Dame
1973-12-07,Michigan
1973-12-08,Notre Dame
1974-02-15,Minnesota
1974-11-02,Michigan State
1974-11-22,Wisconsin
1974-12-28,Minnesota
1975-01-24,Michigan
1975-01-25,Minnesota
1975-11-21,Michigan State
1975-11-22,Minnesota
1975-11-28,Wisconsin
1975-11-29,Minnesota
1976-01-23,Michigan
1976-02-20,Wisconsin
1976-02-21,Michigan
1976-02-28,Minnesota
1976-11-05,Michigan
1976-11-13,Notre Dame
1976-11-27,Wisconsin
1977-01-08,Minnesota
1977-02-04,Notre Dame
1977-03-04,Wisconsin
1977-12-03,Michigan
1978-01-06,Wisconsin
1978-02-17,Minnesota
1978-02-18,Wisconsin
1978-10-27,Minnesota
1978-10-28,Wisconsin
1978-11-10,Michigan
1978-11-11,Wisconsin
1978-12-01,Michigan State
1978-12-02,Wisconsin
1978-12-08,Notre Dame
1978-12-09,Wisconsin
1979-01-06,Michigan State
1979-02-02,Minnesota
1979-02-03,Michigan State
1979-10-26,Minnesota
1979-10-27,Michigan State
1979-11-02,Wisconsin
1979-11-03,Michigan State
1979-11-30,Michigan
1979-12-01,Michigan State
1979-12-28,Michigan
1980-01-26,Minnesota
1980-02-01,Michigan State
1980-02-02,Minnesota
1980-11-08,Notre Dame
1980-11-15,Wisconsin
1980-11-22,Michigan
1981-01-09,Wisconsin
1981-01-16,Minnesota
1981-03-28,Wisconsin
1981-12-05,Minnesota
1982-02-13,Wisconsin
1982-03-09,Minnesota
1982-03-10,Wisconsin
1982-10-30,Minnesota
1982-11-12,Wisconsin
1982-11-13,Minnesota
1983-02-18,Wisconsin
1983-02-19,Minnesota
1983-03-12,Wisconsin
1983-10-28,Minnesota
1983-11-11,Wisconsin
1984-01-28,Minnesota
1985-01-12,Wisconsin
1985-03-09,Minnesota
1986-01-31,Wisconsin
1986-03-08,Minnesota
1986-03-27,Michigan State
1987-01-23,Michigan
1987-01-24,Michigan State
1987-02-21,Ohio State
1987-10-09,Michigan State
1987-11-14,Michigan
1987-12-29,Wisconsin
1988-02-05,Minnesota
1988-02-06,Wisconsin
1988-10-14,Minnesota
1989-03-06,Wisconsin
1989-03-24,Minnesota
1989-11-04,Wisconsin
1990-02-17,Minnesota
1990-03-12,Wisconsin
1990-12-08,Minnesota
1991-11-08,Michigan
1992-04-02,Wisconsin
1993-02-27,Minnesota
1993-11-26,Michigan
1993-11-27,Wisconsin
1994-01-08,Minnesota
1995-01-28,Wisconsin
1995-03-25,Michigan
1995-11-25,Minnesota
1996-02-23,Wisconsin
1996-03-08,Minnesota
1996-03-24,Michigan
1996-11-02,Michigan State
1996-11-15,Michigan
1997-02-08,Michigan State
1997-02-23,Ohio State
1997-03-02,Michigan
1997-10-25,Michigan State
1997-11-01,Notre Dame
1997-11-08,Michigan State
1998-02-06,Ohio State
1998-02-14,Michigan State
1998-03-28,Ohio State
1998-10-10,Minnesota
1998-11-27,Michigan
1998-12-27,Michigan State
1999-11-26,Wisconsin
1999-11-27,Michigan
1999-12-30,Michigan State
2000-01-07,Michigan
2000-11-04,Michigan State
2001-01-27,Michigan
2001-02-17,Michigan State
2002-02-09,Notre Dame
2002-11-22,Michigan
2002-11-23,Notre Dame
2003-01-24,Michigan State
2003-02-14,Michigan
2003-02-15,Michigan State
2003-03-01,Michigan
2003-04-10,Minnesota
2003-11-15,Wisconsin
2004-01-18,Notre Dame
2004-03-18,Ohio State
2004-03-26,Wisconsin
2004-11-05,Minnesota
2005-02-04,Wisconsin
2005-02-05,Minnesota
2005-12-02,Wisconsin
2006-01-27,Minnesota
2006-03-18,Wisconsin
2006-11-18,Minnesota
2007-01-12,Wisconsin
2007-01-13,Minnesota
2007-11-24,Michigan
2007-11-30,Ohio State
2007-12-01,Michigan
2008-01-25,Michigan State
2008-02-23,Michigan
2008-04-10,Notre Dame
2009-01-30,Michigan
2009-01-31,Notre Dame
2009-02-08,Ohio State
2009-02-14,Michigan State
2009-02-27,Notre Dame
2009-12-11,Michigan
2009-12-13,Notre Dame
2010-02-25,Michigan
2010-02-27,Notre Dame
2010-03-05,Ohio State
2010-11-13,Michigan State
2010-11-19,Notre Dame
2011-01-21,Ohio State
2011-01-22,Notre Dame
2011-03-19,Michigan
2011-11-18,Ohio State
2012-01-13,Michigan
2012-01-20,Notre Dame
2012-01-21,Michigan
2012-02-10,Michigan State
2012-02-11,Michigan
2012-11-10,Michigan State
2012-11-30,Ohio State
2012-12-29,Penn State
2013-01-25,Michigan State
2013-01-26,Penn State
2013-02-24,Wisconsin
2013-02-25,Penn State
2013-12-06,Wisconsin
2014-01-25,Ohio State
2014-02-15,Wisconsin
2014-03-14,Michigan State
2014-03-15,Wisconsin
2014-12-05,Penn State
2015-01-09,Ohio State
2015-01-10,Penn State
2015-02-13,Michigan State
2015-02-20,Wisconsin
2015-02-21,Michigan State
2015-02-26,Minnesota
2015-02-27,Michigan State
2015-03-13,Michigan
2015-03-14,Michigan State
2015-03-20,Michigan
2015-03-21,Minnesota
2015-11-06,Notre Dame
2015-11-07,Minnesota
2015-12-11,Michigan
2015-12-12,Minnesota
2016-01-08,Penn State
2016-01-09,Minnesota
2016-02-06,Penn State
2016-02-20,Ohio State
2016-03-18,Minnesota
2016-03-19,Michigan
2016-12-01,Penn State
2017-01-06,Ohio State
2017-01-07,Penn State
2017-01-21,Ohio State
2017-01-26,Wisconsin
2017-02-10,Penn State
2017-02-17,Minnesota
2017-02-24,Wisconsin
2017-02-25,Minnesota
2017-03-03,Michigan
2017-03-04,Minnesota
2017-03-17,Penn State
2017-10-15,Minnesota
2017-11-10,Michigan
2017-11-17,Wisconsin
2017-12-01,Minnesota
2017-12-02,Wisconsin
2017-12-08,Notre Dame
2018-01-21,Wisconsin
2018-02-02,Michigan
2018-02-03,Wisconsin
2018-02-09,Minnesota
2018-02-23,Penn State
2018-03-10,Notre Dame
2018-11-02,Ohio State
2018-11-03,Notre Dame
2018-11-09,Michigan
2018-11-10,Notre Dame
2018-12-08,Penn State
2019-01-05,Minnesota
2019-01-19,Michigan State
2019-01-25,Notre Dame
2019-02-01,Ohio State
2019-02-15,Minnesota
2019-02-22,Notre Dame
2019-02-23,Minnesota
2019-03-16,Notre Dame
2019-11-15,Wisconsin
2019-11-16,Notre Dame
2019-11-23,Michigan State
2019-11-30,Ohio State
2020-01-11,Wisconsin
2020-01-17,Michigan State
2020-01-18,Wisconsin
2020-01-25,Notre Dame
2020-02-15,Minnesota
2020-02-22,Penn State
2020-11-19,Minnesota
2021-01-09,Wisconsin
2021-01-10,Minnesota
2021-01-15,Notre Dame
2021-01-21,Michigan
2021-02-14,Wisconsin
2021-03-16,Minnesota
2021-11-05,Wisconsin
2021-11-06,Minnesota
2021-11-12,Ohio State
2021-11-13,Minnesota
2021-11-19,Penn State
2021-11-20,Minnesota
2021-12-04,Michigan
2021-12-11,Ohio State
2022-01-14,Notre Dame
2022-01-15,Ohio State
2022-02-11,Minnesota
2022-03-19,Michigan
2022-11-04,Penn State
2022-11-05,Michigan
2022-11-12,Notre Dame
2022-11-18,Ohio State
2022-11-19,Notre Dame
2022-12-09,Penn State
2022-12-10,Notre Dame
2023-01-06,Wisconsin
2023-01-07,Notre Dame
2023-01-14,Minnesota
2023-01-21,Michigan
2023-02-18,Ohio State
2023-02-24,Minnesota
2023-03-18,Michigan
2023-11-03,Wisconsin
2023-11-17,Michigan State
2023-11-26,Minnesota
2023-12-02,Penn State
2023-12-08,Wisconsin
2024-01-26,Michigan
2024-01-27,Wisconsin
2024-02-02,Minnesota
2024-02-16,Notre Dame
2024-02-17,Minnesota
2024-03-02,Michigan
2024-03-23,Michigan State
2024-03-31,Michigan
2024-11-23,Penn State
2024-12-05,Ohio State
2025-01-05,Michigan
2025-01-11,Notre Dame
2025-01-17,Minnesota
2025-01-18,Notre Dame
2025-02-07,Ohio State
2025-02-21,Minnesota
2025-02-28,Penn State
2025-03-01,Minnesota
