Date,Team
1922-01-20,Wisconsin
1922-02-03,Minnesota
1922-02-04,Wisconsin
1923-01-20,Michigan
1923-02-20,Minnesota
1923-02-26,Wisconsin
1926-03-04,Michigan
1927-01-23,Michigan State
1928-02-01,Michigan
1928-02-28,Wisconsin
1929-02-13,Minnesota
1929-02-14,Wisconsin
1929-02-19,Michigan
1929-03-01,Wisconsin
1930-01-10,Minnesota
1930-01-21,Michigan
1930-01-25,Michigan State
1950-02-22,Michigan
1950-02-24,Minnesota
1951-01-19,Michigan
1951-01-20,Minnesota
1951-01-26,Michigan State
1953-01-14,Michigan
1953-01-17,Minnesota
1953-02-13,Michigan
1953-03-04,Michigan State
1957-02-01,Minnesota
1957-02-08,Michigan
1957-02-09,Minnesota
1957-03-02,Michigan State
1958-01-08,Michigan
1958-01-15,Michigan State
1958-02-14,Michigan
1958-02-21,Minnesota
1958-03-01,Michigan State
1959-01-23,Minnesota
1959-02-13,Michigan
1959-02-28,Minnesota
1960-02-05,Michigan
1960-02-06,Minnesota
1960-02-19,Michigan State
1960-02-20,Minnesota
1960-02-27,Michigan
1961-01-14,Minnesota
1961-01-27,Michigan State
1961-02-03,Michigan
1961-02-04,Michigan State
1962-01-05,Minnesota
1963-01-04,Michigan
1964-01-10,Minnesota
1964-01-11,Michigan
1964-02-07,Ohio State
1965-02-05,Wisconsin
1966-01-08,Ohio State
1967-12-28,Wisconsin
1968-03-01,Michigan State
1968-03-02,Wisconsin
1968-11-29,Michigan
1968-11-30,Wisconsin
1968-12-20,Michigan State
1968-12-21,Michigan
1968-12-27,Minnesota
1969-01-31,Michigan
1969-02-01,Minnesota
1969-02-14,Michigan
1969-02-15,Minnesota
1969-02-22,Michigan State
1969-12-05,Michigan
1969-12-06,Michigan State
1969-12-22,Michigan
1969-12-23,Minnesota
1970-01-16,Michigan State
1970-01-17,Minnesota
1970-01-23,Michigan
1970-02-14,Wisconsin
1970-02-28,Minnesota
1970-03-06,Michigan
1970-03-07,Minnesota
1970-11-20,Michigan State
1970-11-21,Minnesota
