Date,Team
1975-03-07,Lake Superior
1975-12-12,Michigan Tech
1982-03-13,Bowling Green
1984-03-03,Lake Superior
1984-10-19,Bowling Green
1984-10-20,Lake Superior
1985-01-05,Bowling Green
1985-03-08,Lake Superior
1986-03-08,Bowling Green
1986-11-22,Ferris State
1987-01-10,Lake Superior
1987-10-31,Ferris State
1987-11-20,Bowling Green
1988-01-09,Lake Superior
1988-01-16,Ferris State
1988-03-04,Bowling Green
1988-11-18,Lake Superior
1988-11-26,Ferris State
1989-02-03,Lake Superior
1989-11-18,Bowling Green
1990-03-10,Lake Superior
1990-10-13,Bowling Green
1990-11-17,Ferris State
1991-01-04,Lake Superior
1991-11-07,Northern Michigan
1991-11-09,Lake Superior
1993-11-06,Bowling Green
1993-12-04,Ferris State
1994-03-11,Bowling Green
1994-12-03,Ferris State
1994-12-09,Lake Superior
1995-03-03,Bowling Green
1996-02-03,Lake Superior
1996-10-25,Bowling Green
1996-11-08,Ferris State
1996-11-22,Lake Superior
1997-01-24,Bowling Green
1998-01-02,Northern Michigan
1998-01-03,Ferris State
1998-01-31,Northern Michigan
1998-11-06,Bowling Green
1998-11-07,Northern Michigan
1998-11-20,Ferris State
1999-01-16,Northern Michigan
1999-12-05,Lake Superior
1999-12-10,Michigan Tech
1999-12-11,Lake Superior
1999-12-30,Michigan Tech
2000-02-11,Minnesota State
2000-12-16,Bemidji State
2000-12-17,Minnesota State
2001-02-16,Michigan Tech
2001-02-17,Minnesota State
2001-10-12,Bemidji State
2001-10-13,Minnesota State
2002-02-22,Michigan Tech
2002-02-23,Minnesota State
2004-02-27,Michigan Tech
2004-02-28,Minnesota State
2005-02-12,Michigan Tech
2005-02-19,Northern Michigan
2005-11-19,Bowling Green
2006-01-16,Ferris State
2006-12-09,Lake Superior
2007-02-02,Northern Michigan
2007-02-03,Lake Superior
2007-03-02,Ferris State
2007-03-03,Lake Superior
2007-10-14,Michigan Tech
2007-12-15,Northern Michigan
2008-01-18,Ferris State
2008-01-19,Northern Michigan
2008-02-28,Lake Superior
2008-03-07,Bowling Green
2008-03-08,Lake Superior
2008-03-09,Bowling Green
2008-11-07,Lake Superior
2009-01-23,Bowling Green
2009-01-24,Lake Superior
2009-02-27,Northern Michigan
2009-10-09,Michigan Tech
2009-10-11,Lake Superior
2010-02-13,Ferris State
2010-03-19,Northern Michigan
2010-10-08,Michigan Tech
2010-12-17,Northern Michigan
2011-02-04,Lake Superior
2011-10-21,Bowling Green
2011-10-22,Lake Superior
2011-11-04,Bemidji State
2011-11-05,Lake Superior
2011-11-11,Ferris State
2012-03-09,Bowling Green
2012-03-10,Ferris State
2012-03-11,Bowling Green
2012-11-16,Ferris State
2013-02-09,Northern Michigan
2013-02-12,Michigan Tech
2013-02-15,Minnesota State
2013-11-01,Bemidji State
2013-11-02,Minnesota State
2013-11-08,Bowling Green
2013-11-09,Minnesota State
2013-11-22,Bowling Green
2013-11-23,Minnesota State
2014-01-31,Northern Michigan
2014-02-01,Minnesota State
2014-11-01,Bowling Green
2015-01-16,Michigan Tech
2015-01-17,Bowling Green
2015-01-23,Lake Superior
2015-01-24,Bowling Green
2015-01-30,Bemidji State
2015-02-06,Michigan Tech
2015-02-28,Minnesota State
2015-03-06,Bemidji State
2015-03-07,Minnesota State
2015-11-06,Ferris State
2015-11-07,Minnesota State
2016-01-08,Northern Michigan
2016-01-09,Minnesota State
2016-01-16,Michigan Tech
2016-02-19,Bemidji State
2016-02-20,Michigan Tech
2016-03-18,Ferris State
2016-10-21,Northern Michigan
2016-10-28,Michigan Tech
2016-12-02,Bemidji State
2016-12-03,Michigan Tech
2017-02-03,Bemidji State
2017-02-25,Minnesota State
2017-03-10,Michigan Tech
2017-03-11,Minnesota State
2017-03-12,Michigan Tech
2017-10-27,Minnesota State
2017-11-04,Northern Michigan
2017-11-10,Michigan Tech
2017-11-11,Northern Michigan
2017-12-30,Minnesota State
2018-03-10,Michigan Tech
2018-12-07,Northern Michigan
2018-12-08,Michigan Tech
2018-12-31,Lake Superior
2019-01-18,Minnesota State
2019-01-19,Lake Superior
2019-01-26,Bemidji State
2019-02-22,Bowling Green
2019-03-23,Minnesota State
2019-11-01,Bowling Green
2019-11-02,Minnesota State
2019-12-14,Northern Michigan
2020-02-07,Minnesota State
2020-02-28,Bemidji State
2020-02-29,Minnesota State
2020-12-06,Michigan Tech
2020-12-07,Minnesota State
2021-01-29,Bemidji State
2021-02-12,Northern Michigan
2021-02-21,Bowling Green
2021-03-12,Northern Michigan
2021-03-13,Bowling Green
2021-03-14,Northern Michigan
2021-03-20,Lake Superior
2021-11-06,Michigan Tech
2021-11-12,Northern Michigan
2021-11-13,Michigan Tech
2021-11-20,Bemidji State
2021-12-10,Minnesota State
2022-01-14,Northern Michigan
2022-01-15,Minnesota State
2022-11-18,Northern Michigan
2022-11-19,Minnesota State
2022-11-25,Michigan Tech
2022-12-02,Northern Michigan
2022-12-03,Michigan Tech
2022-12-16,Lake Superior
2022-12-17,Michigan Tech
2023-01-14,St. Thomas
2023-02-04,Minnesota State
2023-02-18,Bemidji State
2023-02-24,St. Thomas
2023-02-25,Bemidji State
2023-03-03,Northern Michigan
2023-03-18,Minnesota State
2023-11-18,Bemidji State
2023-12-09,Lake Superior
2024-01-19,Ferris State
2024-02-02,Bowling Green
2024-02-23,Michigan Tech
2024-03-01,St. Thomas
2024-03-02,Michigan Tech
2024-11-22,Minnesota State
