Date,Team
1975-03-07,Bowling Green
1976-01-09,Lake Superior
1976-02-13,Bowling Green
1979-03-02,Lake Superior
1984-03-03,Bowling Green
1984-10-19,Lake Superior
1984-10-20,Bowling Green
1984-12-14,Ferris State
1984-12-15,Bowling Green
1985-01-05,Lake Superior
1985-02-01,Ferris State
1985-02-02,Lake Superior
1985-03-08,Bowling Green
1986-03-08,Lake Superior
1986-10-31,Ferris State
1986-11-22,Bowling Green
1987-01-03,Lake Superior
1987-01-10,Ferris State
1987-02-27,Bowling Green
1987-02-28,Ferris State
1987-10-31,Lake Superior
1987-12-28,Northern Michigan
1988-10-28,Michigan Tech
1988-10-29,Northern Michigan
1988-12-30,Lake Superior
1989-01-02,Michigan Tech
1989-01-06,Northern Michigan
1989-01-07,Michigan Tech
1989-10-28,Northern Michigan
1990-01-27,Michigan Tech
1991-11-01,Northern Michigan
1991-11-07,Lake Superior
1991-11-09,Northern Michigan
1991-12-20,Ferris State
1992-01-17,Bowling Green
1992-01-18,Ferris State
1992-03-06,Bowling Green
1993-11-05,Ferris State
1993-12-04,Bowling Green
1994-01-21,Lake Superior
1994-01-22,Bowling Green
1994-03-11,Ferris State
1994-10-22,Northern Michigan
1995-02-18,Michigan Tech
1995-12-30,Northern Michigan
1996-01-12,Michigan Tech
1996-01-13,Northern Michigan
1996-02-10,Michigan Tech
1996-10-12,Northern Michigan
1997-02-21,Michigan Tech
1997-10-18,Northern Michigan
1997-10-25,Lake Superior
1998-01-03,Bowling Green
1998-01-31,Lake Superior
1998-02-14,Ferris State
1998-02-21,Bowling Green
1998-10-24,Ferris State
1998-11-20,Northern Michigan
1998-12-27,Michigan Tech
1999-12-10,Lake Superior
1999-12-11,Michigan Tech
1999-12-30,Lake Superior
2000-03-03,Northern Michigan
2000-10-20,Ferris State
2001-02-09,Lake Superior
2001-02-10,Ferris State
2001-02-17,Bowling Green
2001-03-02,Ferris State
2001-11-02,Lake Superior
2001-11-24,Bowling Green
2002-02-15,Lake Superior
2003-02-15,Northern Michigan
2003-10-10,Bowling Green
2004-02-13,Lake Superior
2004-02-20,Northern Michigan
2004-03-05,Ferris State
2004-10-23,Bemidji State
2004-12-04,Lake Superior
2005-12-09,Bemidji State
2006-11-03,Minnesota State
2007-02-03,Michigan Tech
2007-10-14,Lake Superior
2008-01-12,Bowling Green
2008-02-23,Ferris State
2008-11-01,Lake Superior
2008-11-07,Bowling Green
2008-11-14,Northern Michigan
2009-02-06,Bowling Green
2009-02-14,Ferris State
2009-11-06,Bowling Green
2010-11-12,Northern Michigan
2010-11-13,Bowling Green
2011-01-29,Lake Superior
2011-02-04,Northern Michigan
2011-02-19,Bowling Green
2011-03-05,Northern Michigan
2011-12-09,Lake Superior
2011-12-10,Northern Michigan
2011-12-16,Michigan Tech
2012-02-04,Minnesota State
2012-11-30,Bemidji State
2013-11-01,Minnesota State
2013-11-02,Bemidji State
2013-11-23,Lake Superior
2013-11-29,Bowling Green
2013-12-13,Michigan Tech
2014-01-04,Lake Superior
2014-01-24,Bowling Green
2014-01-25,Lake Superior
2014-02-14,Northern Michigan
2014-02-15,Lake Superior
2015-01-16,Bemidji State
2015-01-24,Minnesota State
2015-01-30,Ferris State
2015-02-14,Bowling Green
2015-03-13,Northern Michigan
2015-10-16,Lake Superior
2015-10-17,Northern Michigan
2015-10-23,Michigan Tech
2015-10-24,Northern Michigan
2015-10-31,Bemidji State
2015-12-04,Ferris State
2015-12-05,Bemidji State
2016-02-12,Lake Superior
2016-02-13,Bemidji State
2016-02-19,Michigan Tech
2016-02-20,Bemidji State
2016-03-05,Minnesota State
2016-03-11,Lake Superior
2016-03-12,Minnesota State
2016-03-13,Lake Superior
2016-11-04,Minnesota State
2016-11-05,Lake Superior
2016-12-02,Bowling Green
2016-12-03,Lake Superior
2017-01-06,Northern Michigan
2017-01-07,Lake Superior
2017-10-06,Northern Michigan
2017-10-07,Lake Superior
2018-01-13,Ferris State
2018-01-26,Michigan Tech
2018-02-03,Bowling Green
2018-03-02,Ferris State
2019-01-26,Bowling Green
2019-02-01,Northern Michigan
2019-02-02,Bowling Green
2019-02-22,Bemidji State
2019-11-08,Lake Superior
2019-11-23,Bowling Green
2019-12-13,Lake Superior
2019-12-14,Bowling Green
2020-01-10,Michigan Tech
2020-01-24,Ferris State
2020-01-25,Michigan Tech
2020-02-08,Lake Superior
2020-02-21,Northern Michigan
2020-02-22,Lake Superior
2020-02-28,Ferris State
2021-10-22,St. Thomas
2021-10-23,Ferris State
2021-11-05,Minnesota State
2021-11-06,Ferris State
2021-12-04,Lake Superior
2021-12-10,Northern Michigan
2022-01-14,Minnesota State
2022-01-15,Northern Michigan
2022-01-29,Lake Superior
2022-02-11,Ferris State
2022-02-26,Northern Michigan
2022-03-04,Lake Superior
2022-03-05,Northern Michigan
2022-03-06,Lake Superior
2022-12-09,Bemidji State
2022-12-10,Lake Superior
2022-12-16,Michigan Tech
2022-12-17,Lake Superior
2023-01-14,Ferris State
2023-02-03,Bowling Green
2023-02-10,Michigan Tech
2023-02-11,Bowling Green
2023-11-17,Lake Superior
2023-11-18,Bowling Green
2023-11-24,Northern Michigan
2023-11-25,Bowling Green
2023-12-01,Michigan Tech
2023-12-02,Bowling Green
2023-12-08,Ferris State
2024-01-06,Bemidji State
2024-02-02,Augustana
2024-02-03,Bemidji State
2024-02-09,Northern Michigan
2024-02-23,Ferris State
2024-10-25,Bemidji State
2024-10-26,Ferris State
2024-11-16,Lake Superior
2024-11-29,St. Thomas
