Date,Team
1901-01-19,Yale
1901-02-07,Brown
1901-03-16,Yale
1903-02-07,Princeton
1903-12-30,Yale
1903-12-31,Princeton
1904-02-15,Yale
1904-02-22,Harvard
1907-01-19,Princeton
1908-01-18,Harvard
1908-02-08,Dartmouth
1909-02-22,Harvard
1910-01-15,Princeton
1910-12-28,Yale
1910-12-29,Princeton
1911-01-14,Cornell
1912-01-01,Yale
1912-01-03,Cornell
1912-01-13,Princeton
1913-01-22,Harvard
1913-02-08,Princeton
1913-02-15,Harvard
1914-02-11,Yale
1914-02-28,Harvard
1915-01-20,Dartmouth
1915-02-08,Yale
1915-02-23,Harvard
1917-01-20,Princeton
1917-02-02,Harvard
1917-02-17,Yale
1917-02-28,Princeton
1919-02-15,Yale
1920-01-17,Harvard
1923-01-13,Princeton
1923-02-17,Yale
1923-03-07,Harvard
1924-02-09,Yale
1924-02-22,Princeton
1924-03-08,Yale
1925-01-17,Harvard
1925-02-14,Yale
1926-01-12,Dartmouth
1926-02-20,Harvard
1928-02-18,Dartmouth
1929-01-02,Yale
1929-03-02,Harvard
1929-03-09,Yale
1930-03-01,Harvard
1930-03-08,Yale
1931-12-19,Dartmouth
1932-01-09,Yale
1932-01-20,Clarkson
1935-12-30,Harvard
1936-01-11,Princeton
1936-01-18,Yale
1936-01-22,Clarkson
1936-12-31,Harvard
1937-02-06,Dartmouth
1938-02-16,Clarkson
1940-01-16,Yale
1941-02-01,Princeton
1941-02-22,Yale
1942-01-27,Dartmouth
1942-02-19,Clarkson
1943-01-20,Yale
1943-01-23,Dartmouth
1944-02-05,Colgate
1946-02-07,Cornell
1946-02-09,Colgate
1947-02-09,Cornell
1948-01-24,Clarkson
1948-01-28,Dartmouth
1948-02-18,Harvard
1948-02-28,Dartmouth
1948-12-29,Colgate
1949-03-02,Yale
1949-03-05,Harvard
1949-03-14,Dartmouth
1950-01-19,Clarkson
1952-01-09,Dartmouth
1952-02-09,Yale
1953-01-01,Princeton
1953-02-17,Yale
1953-02-23,Princeton
1953-03-04,Harvard
1954-02-23,Brown
1954-12-28,St. Lawrence
1955-03-12,Harvard
1955-12-30,St. Lawrence
1961-01-28,Yale
1961-02-11,Princeton
1961-02-18,Harvard
1961-12-07,Clarkson
1962-03-10,St. Lawrence
1962-12-07,Cornell
1962-12-20,Clarkson
