Date,Team
1901-01-19,Princeton
1902-02-13,Brown
1933-01-17,Harvard
1933-01-21,Princeton
1933-02-11,Yale
1933-02-25,Harvard
1933-03-04,Yale
1934-02-07,Dartmouth
1934-02-10,Harvard
1934-02-23,Yale
1934-03-03,Harvard
1935-01-12,Princeton
1936-01-11,Harvard
1936-01-18,Dartmouth
1936-02-07,Yale
1936-02-19,Brown
1936-03-06,Colgate
1936-12-28,Cornell
1936-12-29,Union
1984-11-10,Colgate
1984-11-18,Princeton
1984-11-23,Dartmouth
1984-12-08,Colgate
1985-01-19,Brown
1985-02-23,Colgate
1985-02-24,Yale
1985-03-03,Princeton
1985-11-15,Cornell
1985-11-23,St. Lawrence
1986-02-14,Yale
1986-02-15,Clarkson
1986-03-01,Harvard
1986-03-07,Colgate
1986-11-14,Princeton
1987-01-02,Clarkson
1987-01-09,Dartmouth
1987-02-27,St. Lawrence
1987-02-28,Harvard
1987-03-06,Brown
1988-02-13,Clarkson
1988-02-27,Dartmouth
1988-11-18,Princeton
1988-12-09,Brown
1989-01-06,Cornell
1989-01-07,Yale
1989-01-21,Brown
1989-02-10,Clarkson
1989-02-11,Yale
1989-02-17,Cornell
1989-03-03,Clarkson
1989-12-01,Yale
1989-12-09,Brown
1990-01-06,Princeton
1990-02-03,Dartmouth
1990-02-23,Clarkson
1990-02-24,Harvard
1990-11-10,Yale
1990-11-30,St. Lawrence
1990-12-01,Brown
1991-01-05,Princeton
1991-01-11,Cornell
1991-01-22,Colgate
1991-01-25,Dartmouth
1991-11-16,Clarkson
1991-11-22,Colgate
1992-01-04,Union
1992-01-17,Dartmouth
1992-02-08,Union
1992-02-22,Cornell
1992-03-07,Yale
1992-11-14,Cornell
1992-12-04,Brown
1992-12-05,Colgate
1993-01-13,Cornell
1993-01-22,Union
1993-02-27,Cornell
1993-11-12,Dartmouth
1994-01-08,Yale
1994-02-04,Brown
1994-02-05,Princeton
1994-02-11,St. Lawrence
1994-02-19,Cornell
1994-02-25,Princeton
1994-02-26,Colgate
1994-03-08,St. Lawrence
1994-11-19,Princeton
1994-11-22,Yale
1995-01-07,Dartmouth
1995-02-11,Union
1995-02-17,Princeton
1995-02-24,Cornell
1995-02-25,Yale
1995-11-21,Princeton
1996-02-03,Colgate
1996-02-10,Dartmouth
1996-03-01,Harvard
1996-03-08,St. Lawrence
1996-03-09,Harvard
1996-03-10,St. Lawrence
1996-11-08,Yale
1996-11-09,Clarkson
1996-11-16,St. Lawrence
1996-11-22,Union
1996-11-23,Clarkson
1996-12-06,Brown
1997-01-11,Union
1997-01-31,Brown
1997-02-08,Princeton
1997-02-28,Union
1997-03-01,Yale
1997-03-04,Colgate
1997-11-07,Brown
1997-11-14,Yale
1997-11-15,Harvard
1997-11-29,Brown
1997-12-05,St. Lawrence
1998-01-31,Cornell
1998-02-07,Princeton
1998-02-13,Harvard
1998-02-20,Colgate
1998-11-13,Brown
1999-01-03,Dartmouth
1999-01-08,Princeton
1999-01-29,Cornell
1999-02-06,Princeton
1999-02-12,Brown
1999-02-27,St. Lawrence
1999-03-05,Cornell
1999-11-06,Union
1999-11-12,Clarkson
1999-11-20,Cornell
2000-02-04,Harvard
2000-02-25,Princeton
2000-02-26,Brown
2001-01-06,Union
2001-02-03,Dartmouth
2001-02-09,Harvard
2001-02-17,St. Lawrence
2001-02-23,Cornell
2001-03-03,Union
2001-12-07,Princeton
2001-12-08,Rensselaer
2001-12-28,Quinnipiac
2004-10-30,Dartmouth
2004-11-05,Yale
2004-11-27,Princeton
2005-02-18,Dartmouth
2005-02-19,Yale
2005-03-05,Dartmouth
2005-03-06,Yale
2005-12-02,Brown
2006-02-25,Quinnipiac
2006-03-03,Rensselaer
2006-10-29,Colgate
2006-11-18,Princeton
2006-11-25,Harvard
2006-12-16,Dartmouth
2007-01-06,Rensselaer
2007-01-13,Union
2007-01-20,Clarkson
2007-01-23,St. Lawrence
2007-01-26,Harvard
2007-02-02,Union
2007-02-23,Yale
2007-02-24,Rensselaer
2007-10-26,Union
2007-11-30,Quinnipiac
2007-12-01,Rensselaer
2007-12-04,Harvard
2008-01-26,Dartmouth
2008-02-15,Quinnipiac
2008-03-07,Brown
2008-12-05,Union
2008-12-06,Yale
2009-01-09,Dartmouth
2009-01-10,Brown
2009-01-23,Colgate
2009-01-30,Clarkson
2009-02-07,St. Lawrence
2009-02-13,Quinnipiac
2009-02-14,Clarkson
2009-02-20,Dartmouth
2009-02-27,Princeton
2009-03-13,Union
2009-03-14,Princeton
2009-03-15,Union
2009-11-13,St. Lawrence
2009-11-14,Rensselaer
2010-01-08,Quinnipiac
2010-02-06,Colgate
2010-02-13,Brown
2010-02-19,Clarkson
2010-02-26,Harvard
2010-03-05,Princeton
2010-11-06,Brown
2010-11-19,Colgate
2011-02-05,Clarkson
2011-02-11,Brown
2011-02-12,St. Lawrence
2011-02-18,Rensselaer
2011-02-19,Clarkson
2011-02-26,Dartmouth
2011-03-12,Harvard
2011-11-12,Colgate
2011-11-18,Quinnipiac
2011-12-03,Rensselaer
2012-01-20,Brown
2012-01-21,Union
2012-01-27,Clarkson
2012-01-28,Rensselaer
2012-02-11,Dartmouth
2012-02-18,Brown
2012-03-02,Quinnipiac
2012-03-03,Brown
2012-10-26,Princeton
2012-11-09,Cornell
2012-11-30,Clarkson
2012-12-05,St. Lawrence
2013-01-12,Brown
2013-01-19,Harvard
2013-02-15,Colgate
2013-02-22,Union
2013-03-01,St. Lawrence
2013-03-08,Colgate
2013-11-02,Princeton
2013-11-15,Dartmouth
2013-11-30,Harvard
2014-01-31,Princeton
2014-02-14,Brown
2014-02-15,Quinnipiac
2014-02-28,St. Lawrence
2014-03-01,Princeton
2014-03-07,Clarkson
2014-03-08,Princeton
2014-11-07,Cornell
