Date,Team
1918-02-06,Boston College
1924-12-23,Boston University
1925-02-16,Boston College
1926-03-04,Boston University
1934-02-06,New Hampshire
1934-02-23,Boston University
1935-01-29,Boston College
1935-02-26,Boston University
1936-02-04,Boston College
1937-02-13,Boston University
1938-02-25,Boston College
1939-02-04,Boston University
1940-02-24,Boston College
1941-01-14,Boston University
1941-02-11,Boston College
1941-02-25,Northeastern
1941-12-16,Boston College
1942-12-14,Northeastern
1943-01-19,Boston College
1946-12-10,Boston University
1947-01-28,Northeastern
1947-12-22,Boston University
1948-02-02,Northeastern
1948-03-09,Boston College
1950-02-13,Boston University
1950-03-06,Northeastern
1950-12-20,Boston University
1951-01-08,Boston College
1951-02-26,Boston University
1952-02-04,Boston College
1952-02-13,Boston University
1952-02-18,Northeastern
1952-02-20,Boston University
1953-01-14,Boston College
1953-01-31,Boston University
1954-02-09,Boston College
1955-01-31,Northeastern
1955-02-08,Boston University
1955-02-14,Boston College
1957-01-07,Northeastern
1957-02-01,Boston College
1958-01-18,Providence
1958-02-12,Boston College
1959-01-14,Boston University
1959-02-09,Boston College
1960-02-04,Providence
1960-02-27,Boston College
1960-03-08,Boston University
1960-12-06,Northeastern
1961-01-30,Boston University
1961-02-13,Northeastern
1961-03-04,Boston College
1961-12-19,Northeastern
1962-02-03,Boston College
1962-02-20,Boston University
1962-02-28,Northeastern
1962-12-05,Boston University
1963-01-09,Boston College
1963-01-12,Providence
1963-01-31,Boston College
1964-01-11,Boston University
1964-02-10,Boston College
1964-02-26,Boston University
1964-03-04,Providence
1964-12-05,Boston College
1965-01-05,Northeastern
1965-02-03,Boston College
1965-02-23,Boston University
1966-02-23,Merrimack
1967-12-28,Boston University
1968-01-17,New Hampshire
1969-01-04,Boston University
1969-01-11,Boston College
1969-01-31,Northeastern
1969-02-10,Boston College
1970-01-27,Boston University
1970-02-21,New Hampshire
1970-03-10,Boston University
1971-02-08,Northeastern
1971-02-22,Boston College
1971-12-10,Northeastern
1971-12-21,Boston University
1972-02-23,Boston College
1973-02-02,New Hampshire
1973-03-06,Boston College
1973-12-11,Providence
1974-02-26,Boston University
1975-01-18,Boston College
1975-02-03,Boston University
1975-03-01,Northeastern
1975-12-10,New Hampshire
1976-01-20,Boston University
1976-01-30,Vermont
1976-02-07,Massachusetts
1976-02-25,Northeastern
1976-02-28,Boston University
1976-11-28,Providence
1976-12-08,Boston College
1976-12-11,Vermont
1977-01-18,Boston University
1977-02-07,Northeastern
1977-02-14,Boston College
1977-02-26,Boston University
1977-03-05,Providence
1977-11-27,Boston University
1978-02-06,Boston College
1978-02-28,Vermont
1978-03-04,Boston University
1978-03-10,Providence
1978-03-11,Boston College
1978-03-25,Boston University
1979-01-10,Northeastern
1979-02-05,Boston College
1979-02-12,Boston University
1979-02-27,Boston College
1979-12-11,Maine
1980-02-21,Boston College
1980-03-01,Providence
1980-11-29,Boston University
1980-12-13,Maine
1981-01-21,Boston University
1981-01-28,Northeastern
1981-02-09,Boston University
1981-02-15,Providence
1982-01-12,Boston College
1982-02-04,New Hampshire
1982-03-12,Northeastern
1982-03-27,New Hampshire
1983-02-11,Boston University
1983-03-05,New Hampshire
1984-01-20,Boston College
1984-02-02,Providence
1984-03-02,Boston College
1984-03-03,Providence
1984-10-20,Maine
1984-11-16,Northeastern
1984-11-24,Boston University
1985-01-08,Boston College
1985-01-16,New Hampshire
1985-02-07,Boston College
1985-02-24,Maine
1985-03-09,Boston University
1985-03-15,Providence
1985-10-29,Boston University
1985-11-13,Boston College
1986-01-14,Providence
1986-02-13,Boston College
1986-03-15,Boston University
1986-10-31,Maine
1986-11-08,Providence
