Date,Team
1918-02-06,Boston University
1924-12-23,Boston College
1925-02-16,Boston University
1926-03-04,Boston College
1933-02-04,Northeastern
1938-01-10,Boston College
1938-02-25,Boston University
1939-02-04,Boston College
1939-02-14,Northeastern
1940-01-09,Boston College
1940-01-30,Northeastern
1941-02-25,Boston College
1941-12-16,Northeastern
1942-12-14,Boston College
1943-01-19,Northeastern
1943-02-09,Boston University
1946-12-10,Boston College
1946-12-23,Northeastern
1947-01-28,Boston University
1947-12-22,Northeastern
1948-02-02,Boston University
1948-02-03,Boston College
1948-02-16,New Hampshire
1968-01-17,Boston University
1968-02-05,Northeastern
1969-01-31,Boston College
1969-02-10,Northeastern
1969-02-15,Boston University
1969-03-01,Merrimack
1972-12-21,Boston University
1973-01-17,Northeastern
1974-01-02,Boston College
1974-01-18,Boston University
1974-01-29,Massachusetts
1976-02-07,Vermont
1976-02-16,Providence
1976-11-28,Boston University
1977-01-12,New Hampshire
1977-02-01,Boston College
1977-02-14,Northeastern
1979-01-10,Boston University
1979-01-16,New Hampshire
1979-12-01,Boston University
1980-01-31,Merrimack
1981-12-20,Boston College
1982-01-09,Boston University
1982-01-16,Maine
1982-02-16,Boston College
1982-12-07,Maine
1984-02-21,Boston College
1984-02-28,Boston University
1984-03-03,New Hampshire
1985-01-16,Boston College
1985-01-19,Providence
1985-02-10,New Hampshire
1985-02-17,Providence
1985-02-19,Boston University
1985-02-24,Northeastern
1985-10-26,Boston University
1985-10-29,Providence
1986-01-14,Boston College
1986-02-06,New Hampshire
1986-10-29,Providence
1986-11-08,Maine
1986-11-14,New Hampshire
1986-11-19,Northeastern
1986-11-22,New Hampshire
1986-12-30,Vermont
1987-02-10,New Hampshire
1988-01-20,Boston College
1988-01-26,Providence
1988-02-05,Maine
1988-02-06,Providence
1988-02-20,Boston University
1988-02-27,Boston College
1988-10-28,Providence
1988-11-08,Boston University
1989-02-06,Northeastern
1989-02-10,New Hampshire
1989-02-25,Boston College
1989-02-28,Boston University
1989-10-20,New Hampshire
1989-10-28,Vermont
1990-12-29,Northeastern
1991-02-17,Boston College
1991-02-23,Boston University
1991-02-28,Merrimack
1992-01-10,Boston College
1992-01-12,Providence
1992-01-17,Mass.-Lowell
1992-01-25,Merrimack
1992-02-21,Mass.-Lowell
1992-02-28,Northeastern
1992-03-01,Boston College
1992-03-07,Boston University
1992-11-13,Northeastern
1992-11-14,Boston University
1992-12-04,Merrimack
1992-12-09,Providence
1993-01-22,Merrimack
1993-01-23,Providence
1993-01-27,Northeastern
1993-02-08,Boston College
1993-02-26,Providence
1993-03-05,Boston University
1993-03-12,Boston College
1993-11-05,Vermont
1993-11-24,Merrimack
1993-12-03,Boston University
1993-12-04,Merrimack
1993-12-08,Providence
1994-01-08,Boston University
1994-01-14,Boston College
1994-01-22,Maine
1994-02-26,Merrimack
1994-11-05,Providence
1994-11-12,Mass.-Lowell
1994-11-15,Merrimack
1994-12-02,Massachusetts
1995-01-07,Boston College
1995-01-27,Providence
1995-02-17,Boston University
1995-02-18,Providence
1995-02-26,Boston College
1995-03-03,Merrimack
1995-11-17,New Hampshire
1995-12-01,Northeastern
1995-12-02,New Hampshire
1995-12-09,Boston College
1996-01-05,Merrimack
1996-02-09,Northeastern
1996-02-12,Boston University
1996-02-16,Providence
1996-02-23,New Hampshire
1996-02-24,Boston College
1996-03-01,Massachusetts
1996-10-26,Mass.-Lowell
1996-11-01,Boston College
1996-11-02,Mass.-Lowell
1996-11-08,Merrimack
1996-11-09,Mass.-Lowell
1996-11-23,Maine
1996-11-29,Mass.-Lowell
