Date,Team
2006-10-20,Alaska-Anchorage
2010-02-26,Alaska
2011-02-26,Alaska-Anchorage
2012-02-25,Alaska
2013-12-06,Alaska-Anchorage
2013-12-07,Alaska
2014-03-08,Alaska-Anchorage
2014-03-13,Alaska
2014-03-14,Alaska-Anchorage
2015-03-06,Alaska
2016-12-09,Alaska-Anchorage
2016-12-10,Alaska
2018-02-23,Alaska-Anchorage
2019-02-09,Alaska
2019-10-26,Alaska-Anchorage
2020-02-28,Alaska
2022-02-18,Long Island
2022-02-19,Alaska
2022-03-04,Long Island
2022-03-05,Alaska
2023-02-11,Long Island
2023-02-17,Alaska
2024-02-03,Alaska-Anchorage
2024-02-10,Long Island
2024-02-11,Alaska-Anchorage
2024-03-02,Stonehill
2024-03-06,Alaska
2024-11-16,Alaska-Anchorage
2025-01-31,Alaska
2025-02-15,Lindenwood
