Date,Team
1948-02-12,North Dakota
1948-02-13,Colorado College
1948-12-10,North Dakota
1950-02-01,Denver
1950-12-09,Colorado College
1951-01-12,Denver
1951-01-13,Colorado College
1951-02-19,North Dakota
1951-02-20,Colorado College
1951-12-07,Denver
1951-12-08,Colorado College
1952-01-12,Denver
1952-02-19,North Dakota
1952-02-20,Denver
1953-01-09,North Dakota
1953-02-10,Colorado College
1953-12-19,Denver
1953-12-25,North Dakota
1954-02-19,Colorado College
1954-02-27,Denver
1954-12-14,North Dakota
1954-12-29,Minnesota-Duluth
1954-12-30,North Dakota
1955-02-03,Colorado College
1955-02-11,North Dakota
1955-02-12,Colorado College
1955-02-18,Denver
1956-01-20,Colorado College
1956-03-03,Denver
1957-01-12,Colorado College
1957-02-08,North Dakota
1957-02-19,Colorado College
1957-12-13,Denver
1957-12-14,Colorado College
1958-01-13,Denver
1958-02-03,North Dakota
1958-02-07,Colorado College
1958-02-22,Denver
1958-03-01,Colorado College
1958-12-13,Denver
1958-12-15,North Dakota
1959-02-28,Denver
1959-03-07,Colorado College
1960-01-11,North Dakota
1960-01-27,Denver
1960-02-02,Colorado College
1960-02-19,Denver
1961-03-04,Colorado College
1961-12-01,Denver
1962-01-12,North Dakota
1962-01-13,Denver
1963-01-25,North Dakota
1963-02-12,Denver
1963-03-16,North Dakota
1963-12-09,Denver
1965-01-15,North Dakota
1965-02-12,Minnesota-Duluth
1965-02-13,North Dakota
1965-02-17,Denver
1965-02-19,North Dakota
1965-12-28,Colorado College
1966-01-18,North Dakota
1966-02-11,Minnesota-Duluth
1966-02-12,North Dakota
1966-02-25,Denver
1966-02-26,North Dakota
1966-03-04,Denver
1966-12-09,North Dakota
1966-12-10,Denver
1967-02-01,North Dakota
1967-02-03,Denver
1967-03-11,North Dakota
1967-11-17,Denver
1967-11-18,North Dakota
1968-02-16,Denver
1968-03-05,Minnesota-Duluth
1968-11-28,North Dakota
1969-02-04,Denver
1969-12-19,North Dakota
1969-12-26,Minnesota-Duluth
1970-02-10,Colorado College
1970-03-06,Denver
1970-03-07,Colorado College
1970-11-13,Denver
1971-01-01,North Dakota
1971-01-02,Denver
1971-11-13,Colorado College
1971-12-03,Minnesota-Duluth
1971-12-04,Colorado College
1972-01-21,North Dakota
1972-02-05,Denver
1972-02-11,Colorado College
1972-03-01,Minnesota-Duluth
1972-11-18,North Dakota
1972-12-03,Denver
1973-01-19,North Dakota
1973-01-20,Denver
1973-11-03,Colorado College
1973-12-08,North Dakota
1974-02-08,Denver
1974-03-01,Colorado College
1974-03-02,Denver
1974-10-22,Colorado College
1974-12-27,North Dakota
1974-12-28,Colorado College
1975-02-28,Denver
1975-03-01,Colorado College
1976-01-16,North Dakota
1976-01-23,Denver
1976-02-20,Minnesota-Duluth
1976-02-21,Denver
1976-02-27,North Dakota
1976-02-28,Denver
1976-03-05,Colorado College
1976-10-22,Denver
1976-10-29,North Dakota
1976-11-06,Colorado College
1976-11-19,Minnesota-Duluth
1976-11-20,Colorado College
1976-12-10,Denver
1977-03-05,Colorado College
1977-10-21,Denver
1977-12-02,North Dakota
1977-12-03,Denver
1978-01-06,North Dakota
1978-01-07,Denver
1978-03-14,Colorado College
1978-03-15,Denver
1978-12-01,North Dakota
1979-01-12,Denver
1979-01-30,Colorado College
1979-02-16,North Dakota
1979-10-26,Colorado College
1979-10-27,North Dakota
1979-12-07,Minnesota-Duluth
1979-12-08,North Dakota
1980-01-25,Colorado College
1980-01-26,North Dakota
