Date,Team
1948-02-12,Colorado College
1948-02-13,North Dakota
1948-12-10,Colorado College
1950-01-06,Denver
1950-01-30,Colorado College
1950-02-03,North Dakota
1951-02-19,Colorado College
1951-02-20,North Dakota
1952-02-19,Denver
1952-02-20,North Dakota
1953-01-09,Denver
1953-01-17,Colorado College
1953-02-10,North Dakota
1953-12-25,Denver
1954-01-15,Colorado College
1954-01-16,Denver
1954-02-27,Colorado College
1955-01-14,Denver
1955-02-05,North Dakota
1955-02-11,Colorado College
1955-02-12,North Dakota
1955-11-25,Minnesota-Duluth
1959-12-18,North Dakota
1960-01-11,Colorado College
1960-02-02,Denver
1960-02-19,Colorado College
1961-01-09,North Dakota
1961-01-17,Colorado College
1961-03-04,Denver
1961-12-01,Colorado College
1963-01-19,Minnesota-Duluth
1964-01-25,Colorado College
1965-01-29,Denver
1965-01-30,Colorado College
1965-12-28,North Dakota
1966-01-18,Colorado College
1967-03-04,Minnesota-Duluth
1967-03-25,Colorado College
1968-01-04,Minnesota-Duluth
1968-01-13,Colorado College
1969-02-12,Minnesota-Duluth
1969-02-13,Colorado College
1969-03-07,North Dakota
1969-11-21,Minnesota-Duluth
1969-11-22,North Dakota
1969-12-19,Denver
1970-01-09,North Dakota
1970-01-10,Denver
1970-02-06,Colorado College
1970-02-10,Minnesota-Duluth
1970-11-20,North Dakota
1970-11-21,Minnesota-Duluth
1971-01-02,Colorado College
1971-02-05,North Dakota
1971-02-06,Colorado College
1971-11-13,Denver
1972-02-05,North Dakota
1972-02-12,Minnesota-Duluth
1972-03-01,Colorado College
1973-02-23,North Dakota
1973-11-09,Denver
1973-11-10,North Dakota
1973-11-30,Minnesota-Duluth
1974-02-09,Colorado College
1974-03-01,Denver
1974-03-02,Colorado College
1974-10-22,Denver
1974-11-01,North Dakota
1974-11-02,Denver
1975-01-10,North Dakota
1975-01-11,Denver
1975-02-28,Colorado College
1975-03-01,Denver
1976-01-23,North Dakota
1976-02-06,Minnesota-Duluth
1976-02-07,North Dakota
1976-02-27,Denver
1976-02-28,North Dakota
1976-10-29,Denver
1976-12-10,Colorado College
1977-02-19,North Dakota
1977-11-04,Minnesota-Duluth
1977-11-05,North Dakota
1977-11-19,Colorado College
1978-01-13,North Dakota
1978-01-14,Colorado College
1978-02-26,Minnesota-Duluth
1978-11-03,North Dakota
1978-11-10,Colorado College
1978-12-01,Minnesota-Duluth
1978-12-02,Colorado College
1979-01-30,Denver
1979-03-07,Minnesota-Duluth
1979-12-01,Colorado College
1980-01-25,North Dakota
1980-01-26,Colorado College
1980-02-02,Minnesota-Duluth
1980-11-08,North Dakota
1980-11-14,Colorado College
1980-11-28,Minnesota-Duluth
1981-01-16,Colorado College
1981-01-17,Minnesota-Duluth
1981-02-27,North Dakota
1981-11-06,Minnesota-Duluth
1981-11-07,North Dakota
1981-11-13,Colorado College
1981-11-14,North Dakota
1981-11-27,Denver
1981-11-28,North Dakota
1981-12-11,Minnesota-Duluth
1982-01-29,Colorado College
1982-02-12,Denver
1982-02-27,North Dakota
1982-03-09,Denver
1982-10-15,Colorado College
1982-11-13,North Dakota
1982-12-10,Denver
1983-01-28,Colorado College
1983-02-18,Denver
1983-10-28,Colorado College
1983-10-29,Denver
1983-12-02,North Dakota
1983-12-03,Denver
1984-01-28,Colorado College
1984-10-13,Minnesota-Duluth
1984-12-07,North Dakota
1984-12-08,Minnesota-Duluth
1985-02-01,Denver
1985-02-08,North Dakota
1985-02-15,Colorado College
1985-12-14,Minnesota-Duluth
1986-01-10,North Dakota
1986-01-11,Minnesota-Duluth
1986-11-08,Denver
1986-11-15,Miami
1987-02-20,Western Michigan
1987-02-21,Miami
1987-11-13,St. Cloud State
1989-01-23,Colorado College
1989-02-10,Minnesota-Duluth
1989-02-11,Colorado College
1989-10-20,Denver
1989-10-21,Colorado College
1990-01-26,Minnesota-Duluth
1990-01-27,Colorado College
1990-02-23,Denver
1990-02-24,Colorado College
1990-10-26,Denver
1990-10-27,Colorado College
1991-01-12,North Dakota
1991-01-25,St. Cloud State
1991-02-01,Colorado College
1991-02-15,Denver
1991-02-22,Minnesota-Duluth
1991-02-23,Denver
1991-10-18,North Dakota
1991-10-19,Denver
1991-11-03,Colorado College
1991-11-23,Minnesota-Duluth
1991-12-13,St. Cloud State
1991-12-14,Minnesota-Duluth
1992-01-04,Denver
1992-10-23,Minnesota-Duluth
1992-11-06,North Dakota
1992-11-27,St. Cloud State
1992-11-28,North Dakota
1992-12-19,Colorado College
1993-01-15,St. Cloud State
1993-01-16,Colorado College
1993-01-22,North Dakota
1993-01-23,Colorado College
1993-11-26,North Dakota
1994-03-04,Minnesota-Duluth
1994-03-05,North Dakota
1994-11-04,Denver
1994-11-05,North Dakota
1994-11-18,Minnesota-Duluth
1995-01-07,Colorado College
1995-01-27,St. Cloud State
1995-02-04,Minnesota-Duluth
1995-10-21,St. Cloud State
1996-03-01,Denver
1996-03-02,St. Cloud State
1996-03-03,Denver
1996-12-13,Minnesota-Duluth
1997-01-18,Colorado College
1997-01-26,North Dakota
1997-03-14,Colorado College
1997-03-15,St. Cloud State
1997-10-31,Minnesota-Duluth
1997-11-01,St. Cloud State
1997-11-15,Colorado College
1997-12-07,Denver
1997-12-08,Colorado College
1997-12-28,Denver
1998-01-30,St. Cloud State
1998-01-31,Denver
1998-02-07,Colorado College
1998-02-20,St. Cloud State
1998-03-19,Minnesota-Duluth
1999-01-15,Denver
1999-01-16,Minnesota-Duluth
1999-10-29,Colorado College
1999-10-30,Minnesota-Duluth
1999-11-12,St. Cloud State
1999-12-03,Denver
1999-12-05,St. Cloud State
2000-01-28,Minnesota-Duluth
2000-02-12,Denver
2000-03-11,North Dakota
2000-03-12,Denver
2000-10-28,St. Cloud State
2000-11-10,Colorado College
2000-12-08,North Dakota
2000-12-09,Colorado College
2001-01-05,Denver
2001-02-10,Colorado College
2001-11-10,St. Cloud State
2001-12-07,Colorado College
2001-12-08,St. Cloud State
2002-01-12,Minnesota-Duluth
2002-02-22,North Dakota
2002-02-23,Minnesota-Duluth
2002-11-08,Denver
2002-11-09,Minnesota-Duluth
2002-11-23,St. Cloud State
2002-12-14,Denver
2002-12-27,Miami
2004-02-28,Western Michigan
2004-11-19,Miami
2004-11-20,Western Michigan
2005-02-05,Miami
2006-01-20,Western Michigan
2007-01-13,Miami
2007-12-29,St. Cloud State
2008-01-04,North Dakota
2008-01-05,St. Cloud State
2008-02-09,Colorado College
2008-02-22,Minnesota-Duluth
2008-10-17,Western Michigan
2010-11-26,Miami
2010-11-27,Western Michigan
2011-12-30,St. Cloud State
2012-01-14,Colorado College
2012-02-03,Denver
2012-02-25,North Dakota
2012-03-15,St. Cloud State
2012-11-02,Denver
2012-11-03,St. Cloud State
2012-11-10,North Dakota
2012-11-17,Minnesota-Duluth
2012-11-23,St. Cloud State
2012-11-24,Minnesota-Duluth
2013-01-18,Colorado College
2013-01-19,Minnesota-Duluth
2013-10-19,Colorado College
2014-01-24,Miami
2014-01-25,Colorado College
2014-02-15,Western Michigan
2014-03-01,Denver
2014-03-07,Miami
2014-03-08,Denver
2014-03-21,Western Michigan
2014-11-08,Denver
2014-11-14,Colorado College
2015-02-28,Western Michigan
2015-03-07,Minnesota-Duluth
2015-11-20,Colorado College
2015-12-04,Miami
2016-01-29,Denver
2016-01-30,Miami
2016-02-06,St. Cloud State
2016-03-04,Colorado College
2017-01-07,Minnesota-Duluth
2017-01-14,St. Cloud State
2017-01-20,Denver
2017-01-21,St. Cloud State
2017-02-03,North Dakota
2017-02-04,St. Cloud State
2017-02-10,Miami
2017-11-03,Colorado College
2017-11-04,Miami
2017-11-18,Minnesota-Duluth
2018-01-12,Colorado College
2018-01-20,Western Michigan
2018-02-03,Miami
2018-02-23,North Dakota
2018-03-17,Minnesota-Duluth
2018-11-09,Colorado College
2018-11-16,Miami
2018-11-17,Colorado College
2019-01-25,Miami
2019-02-22,Denver
2019-02-23,Miami
2019-11-15,Minnesota-Duluth
2019-11-16,Miami
2020-01-10,Colorado College
2020-01-11,Miami
2020-12-17,Denver
2021-01-02,Colorado College
2021-02-18,Minnesota-Duluth
2021-02-27,St. Cloud State
2021-03-06,Minnesota-Duluth
2021-03-13,Western Michigan
2021-11-05,Minnesota-Duluth
2021-11-06,Western Michigan
2021-11-19,St. Cloud State
2021-12-03,North Dakota
2021-12-04,St. Cloud State
2022-01-21,Miami
2022-02-11,Omaha
2022-02-18,St. Cloud State
2022-02-25,Colorado College
2022-11-04,Minnesota-Duluth
2022-11-05,Colorado College
2022-11-12,Miami
2022-11-19,North Dakota
2022-12-10,Western Michigan
2023-01-13,North Dakota
2023-01-20,Minnesota-Duluth
2023-01-21,North Dakota
2023-01-27,Miami
2023-02-25,Minnesota-Duluth
2023-03-03,St. Cloud State
2023-03-04,Minnesota-Duluth
2023-03-11,St. Cloud State
2023-03-12,Minnesota-Duluth
2023-12-01,Omaha
2023-12-02,Minnesota-Duluth
2023-12-09,Miami
2024-01-13,Western Michigan
2024-01-20,Minnesota-Duluth
2024-01-26,Miami
