Date,Team
1901-01-19,Yale
1901-02-07,Brown
1901-03-16,Yale
1903-02-07,Princeton
1903-12-30,Yale
1903-12-31,Princeton
1904-02-15,Yale
1904-02-22,Harvard
1907-01-19,Princeton
1908-01-18,Harvard
1908-02-08,Dartmouth
1909-02-22,Harvard
1910-01-15,Princeton
1910-12-28,Yale
1910-12-29,Princeton
1911-01-14,Cornell
1912-01-01,Yale
1912-01-03,Cornell
1912-01-13,Princeton
1913-01-22,Harvard
1913-02-08,Princeton
1913-02-15,Harvard
1914-02-11,Yale
1914-02-28,Harvard
1915-01-20,Dartmouth
1915-02-08,Yale
1915-02-23,Harvard
1917-01-20,Princeton
1917-02-02,Harvard
1917-02-17,Yale
1917-02-28,Princeton
1919-02-15,Yale
1920-01-17,Harvard
1922-02-03,Boston College
1924-12-23,Boston University
1925-02-11,Yale
1926-01-12,Dartmouth
1926-02-20,Harvard
1928-02-18,Dartmouth
1929-01-02,Yale
1929-03-02,Harvard
1929-03-09,Yale
1930-03-01,Harvard
1930-03-08,Yale
1931-12-19,Dartmouth
1932-01-09,Yale
1932-01-20,Clarkson
1935-12-30,Harvard
1936-01-11,Princeton
1936-01-18,Yale
1936-01-22,Clarkson
1936-12-31,Harvard
1937-02-06,Dartmouth
1937-02-24,Boston University
1937-02-26,Brown
1937-03-04,Dartmouth
1938-02-16,Clarkson
1940-01-16,Yale
1940-12-28,Minnesota
1942-01-02,Dartmouth
1942-02-19,Clarkson
1943-01-20,Yale
1943-01-23,Dartmouth
1943-02-13,Northeastern
1946-12-11,Boston University
1946-12-18,Harvard
1946-12-30,Boston College
1947-01-25,Yale
1947-03-11,Dartmouth
1948-01-12,Boston College
1948-01-29,Dartmouth
1948-02-18,Harvard
1948-02-25,Boston College
1948-03-19,Michigan
1948-12-26,North Dakota
1949-01-07,Michigan Tech
1949-01-14,Minnesota
1949-01-21,North Dakota
1949-01-29,Minnesota
1949-02-18,Michigan
1949-03-17,Dartmouth
1949-03-19,Boston College
1950-02-13,Boston University
1950-02-17,Dartmouth
1950-02-21,Brown
1950-12-11,Boston College
1950-12-20,Harvard
1951-01-02,North Dakota
1951-02-03,Minnesota
1951-12-28,Yale
1952-01-09,Brown
1952-02-02,Yale
1952-02-06,St. Lawrence
1952-03-13,Michigan
1952-12-20,Colorado College
