Date,Team
1901-01-19,Princeton
1902-02-13,Brown
1927-02-16,Boston University
1927-02-25,Providence
1952-11-21,Brown
1952-12-13,Boston College
1952-12-27,Northeastern
1953-01-28,Brown
1953-02-07,Harvard
1953-02-13,Northeastern
1954-01-14,Brown
1954-02-02,Providence
1954-03-03,Yale
1954-12-04,Northeastern
1954-12-17,Boston University
1954-12-20,St. Lawrence
1954-12-22,Boston College
1955-01-04,Brown
1955-02-09,Dartmouth
1955-02-23,Boston University
1955-12-06,Yale
1956-01-21,Dartmouth
1956-12-14,Northeastern
1957-01-07,Boston College
1957-02-01,Northeastern
1957-02-18,Boston University
1957-12-02,Northeastern
1958-01-07,Boston University
1958-01-20,Boston College
1958-02-05,Yale
1958-02-08,Dartmouth
1958-02-12,Brown
1958-02-19,Yale
1958-02-22,Princeton
1959-02-03,Army
1959-02-14,Colgate
1959-02-25,Cornell
1960-02-22,Harvard
1960-02-27,Yale
1960-03-05,Harvard
1960-12-15,Northeastern
1960-12-28,Brown
1961-02-15,Dartmouth
1961-02-25,Brown
1961-12-08,Connecticut
1969-02-24,Army
1969-03-03,Merrimack
1970-03-02,Army
1970-12-04,New Hampshire
1970-12-08,Boston College
1970-12-18,Dartmouth
1971-01-02,Michigan
1971-01-15,North Dakota
1971-01-16,Michigan
1971-01-30,Minnesota-Duluth
1971-02-26,North Dakota
1971-03-11,Michigan Tech
1971-12-03,Minnesota
1971-12-17,Minnesota-Duluth
1972-01-02,Wisconsin
1972-01-07,Minnesota
1972-01-08,Wisconsin
1972-01-14,Colorado College
1972-02-11,Denver
1972-03-03,Wisconsin
1972-03-08,Michigan Tech
1972-11-17,Michigan
1972-12-01,Minnesota
1972-12-02,Michigan
1972-12-09,Wisconsin
1972-12-28,Colorado College
1973-01-03,Michigan Tech
1973-01-27,Minnesota
1973-02-02,Minnesota-Duluth
1973-02-03,Minnesota
1973-02-09,North Dakota
1973-02-16,Michigan Tech
1973-02-23,Michigan
1973-03-03,North Dakota
1973-11-09,Denver
1973-11-10,North Dakota
1973-11-17,Minnesota
1973-11-23,Michigan State
1973-12-14,Colorado College
1973-12-29,Clarkson
1974-02-15,Boston College
1974-02-20,Boston University
1974-02-23,Colgate
1974-12-07,Yale
1975-01-21,Army
1975-01-30,Connecticut
1977-12-14,Army
1978-01-21,Merrimack
1980-01-19,Army
1980-10-31,Alaska-Anchorage
1980-11-01,Army
1980-12-03,Connecticut
1984-11-17,Merrimack
1985-01-15,American Int'l
1986-02-12,Army
1986-11-14,Cornell
1986-11-15,Princeton
1986-11-29,Army
1987-01-02,St. Lawrence
1987-01-10,Dartmouth
1987-02-07,Army
1987-02-28,Yale
1987-03-07,Clarkson
1987-10-24,St. Cloud State
1987-10-30,Air Force
1987-11-27,Brown
1987-12-01,New Hampshire
1988-01-02,Yale
1988-01-08,Army
1988-02-26,Brown
1988-11-11,Dartmouth
1988-11-18,Princeton
1988-11-25,Army
1988-11-26,Princeton
1988-12-09,Brown
1988-12-23,St. Cloud State
1989-01-23,Colorado College
1989-02-04,Northern Michigan
1989-02-14,Wisconsin
1989-02-24,Michigan Tech
1989-10-28,Northern Michigan
1989-11-11,Minnesota
1989-11-18,Colorado College
1989-12-01,Michigan Tech
1989-12-02,Colorado College
1989-12-09,Wisconsin
1989-12-28,Notre Dame
1990-01-02,Air Force
1990-01-03,Notre Dame
1990-02-03,Air Force
1990-02-16,Ferris State
1990-02-17,Air Force
1990-10-26,Army
1990-11-16,Dartmouth
1990-12-30,Northeastern
1991-01-05,Air Force
1991-02-01,Notre Dame
1991-02-02,Air Force
1991-02-22,Notre Dame
1991-03-10,Alaska-Anchorage
1991-03-15,Boston College
1991-10-25,St. Lawrence
1991-11-08,Mass.-Lowell
1991-11-13,Merrimack
1991-11-15,American Int'l
1993-02-20,Army
1993-12-04,Bentley
1999-11-05,Holy Cross
1999-11-20,Rensselaer
1999-11-27,Army
2000-02-01,Sacred Heart
2000-02-18,Bentley
2000-02-19,Sacred Heart
2000-03-03,American Int'l
2000-10-28,Quinnipiac
2000-11-10,Sacred Heart
2000-11-21,American Int'l
2000-12-01,Connecticut
2000-12-02,American Int'l
2001-01-13,Sacred Heart
2001-01-26,Bentley
2001-02-02,Army
2001-02-13,Holy Cross
2001-02-16,Bentley
2001-10-27,American Int'l
2001-11-17,Connecticut
2001-11-25,Quinnipiac
2001-12-01,Canisius
2002-01-18,Holy Cross
2002-01-19,Canisius
2002-02-01,Army
2002-03-01,Mercyhurst
2002-03-09,Army
2002-11-22,Quinnipiac
2002-12-03,Bentley
2002-12-11,Holy Cross
2003-01-07,Sacred Heart
2003-01-14,Holy Cross
2003-02-07,American Int'l
2003-02-16,Connecticut
2003-02-22,Bentley
2003-03-08,Holy Cross
2003-03-15,Army
2003-10-18,American Int'l
2003-11-23,Army
2004-01-09,American Int'l
2004-02-07,Quinnipiac
2004-02-20,American Int'l
2004-03-12,Army
2004-10-30,Colgate
2004-11-05,Brown
2004-11-13,Yale
2004-11-27,Princeton
2005-01-04,American Int'l
2005-01-14,Canisius
2005-01-18,Mercyhurst
2005-01-29,Bentley
2005-02-25,Canisius
2005-02-26,Bentley
2005-03-12,Canisius
2005-10-09,Robert Morris
2005-10-15,Western Michigan
2005-10-28,Ohio State
2005-11-15,Michigan State
2005-12-02,Bowling Green
2005-12-03,Michigan State
2005-12-29,Michigan Tech
2006-01-13,Minnesota-Duluth
2006-02-04,Wisconsin
2006-02-11,Ohio State
2006-02-18,Ferris State
2006-02-25,Michigan
2006-03-10,Ferris State
2006-10-13,Mercyhurst
2006-10-21,Holy Cross
2006-10-24,Merrimack
2006-10-27,Providence
2006-10-31,Boston College
2006-11-04,Vermont
2006-11-10,Providence
2006-11-14,Northeastern
2006-12-01,Merrimack
