Team,Conference
Air Force,Atlantic Hockey
American Int'l,Atlantic Hockey
Army,Atlantic Hockey
Bentley,Atlantic Hockey
Canisius,Atlantic Hockey
Holy Cross,Atlantic Hockey
Mercyhurst,Atlantic Hockey
Niagara,Atlantic Hockey
RIT,Atlantic Hockey
Robert Morris,Atlantic Hockey
Sacred Heart,Atlantic Hockey
Michigan,Big Ten
Michigan State,Big Ten
Minnesota,Big Ten
Notre Dame,Big Ten
Ohio State,Big Ten
Penn State,Big Ten
Wisconsin,Big Ten
Augustana,CCHA
Bemidji State,CCHA
Bowling Green,CCHA
Ferris State,CCHA
Lake Superior,CCHA
Michigan Tech,CCHA
Minnesota State,CCHA
Northern Michigan,CCHA
St. Thomas,CCHA
Brown,ECAC
Clarkson,ECAC
Colgate,ECAC
Cornell,ECAC
Dartmouth,ECAC
Harvard,ECAC
Princeton,ECAC
Quinnipiac,ECAC
Rensselaer,ECAC
St. Lawrence,ECAC
Union,ECAC
Yale,ECAC
Boston College,Hockey East
Boston University,Hockey East
Connecticut,Hockey East
Maine,Hockey East
Mass.-Lowell,Hockey East
Massachusetts,Hockey East
Merrimack,Hockey East
New Hampshire,Hockey East
Northeastern,Hockey East
Providence,Hockey East
Vermont,Hockey East
Arizona State,NCHC
Colorado College,NCHC
Denver,NCHC
Miami,NCHC
Minnesota-Duluth,NCHC
Omaha,NCHC
North Dakota,NCHC
St. Cloud State,NCHC
Western Michigan,NCHC
Alaska-Anchorage,Independents
Alaska,Independents
Lindenwood,Independents
Long Island,Independents
Stonehill,Independents
